3000	1	0.541	0.1979
3050	1	0.5497	0.205
3100	1	0.5567	0.2122
3150	1	0.5683	0.2197
3200	1	0.5671	0.2257
3250	1	0.5842	0.2356
3300	1	0.5909	0.2462
3350	1	0.6011	0.254
3400	1	0.6117	0.2628
3450	1	0.6189	0.2729
3500	1	0.6243	0.2824
3550	1	0.6355	0.292
3600	1	0.643	0.3005
3650	1	0.6482	0.3084
3700	1	0.6591	0.3204
3750	1	0.6662	0.3297
3800	1	0.6761	0.3393
3850	1	0.6846	0.3506
3900	1	0.6948	0.3611
3950	1	0.6991	0.37
4000	1	0.7038	0.3817
4050	1	0.7101	0.392
4100	1	0.7211	0.4032
4150	1	0.724	0.4126
4200	1	0.7299	0.4209
4250	1	0.7356	0.4331
4300	1	0.7472	0.446
4350	1	0.7556	0.4578
4400	1	0.7516	0.4634
4450	1	0.7644	0.4751
4500	1	0.767	0.485
4550	1	0.7754	0.4965
4600	1	0.783	0.5068
4650	1	0.7873	0.5168
4700	1	0.7938	0.5273
4750	1	0.7986	0.5388
4800	1	0.8038	0.5461
4850	1	0.8091	0.5601
4900	1	0.814	0.5707
4950	1	0.8179	0.5811
5000	1	0.8216	0.5918
5050	1	0.8312	0.6029
5100	1	0.8277	0.6093
5150	1	0.8379	0.6216
5200	1	0.847	0.6352
5250	1	0.8538	0.6467
5300	1	0.8509	0.6529
5350	1	0.8588	0.6654
5400	1	0.8608	0.6727
5450	1	0.8681	0.685
5500	1	0.8691	0.6943
5550	1	0.8729	0.7049
5600	1	0.8773	0.7155
5650	1	0.882	0.7256
5700	1	0.884	0.7322
5750	1	0.8864	0.7408
5800	1	0.8935	0.7534
5850	1	0.8931	0.7617
5900	1	0.905	0.7757
5950	1	0.9015	0.784
6000	1	0.9068	0.7935
6050	1	0.909	0.8001
6100	1	0.9108	0.812
6150	1	0.9102	0.8213
6200	1	0.9163	0.8297
6250	1	0.9076	0.8293
6300	1	0.9211	0.8489
6350	1	0.9259	0.86
6400	1	0.9265	0.8638
6450	1	0.9335	0.8793
6500	1	0.9322	0.8851
6550	1	0.9396	0.8961
6600	1	0.9429	0.9053
6650	1	0.944	0.915
6700	1	0.9444	0.922
6750	1	0.9498	0.9326
6800	1	0.9494	0.9381
6850	1	0.9529	0.9499
6900	1	0.9542	0.9609
6950	1	0.9575	0.9676
7000	1	0.9587	0.9767
7050	1	0.9641	0.9903
7100	1	0.9622	0.9941
7150	0.9992	0.9647	1
7200	0.9874	0.9592	1
7250	0.9799	0.9508	1
7300	0.972	0.9443	1
7350	0.9653	0.9406	1
7400	0.9653	0.9406	1
7450	0.9512	0.9303	1
7500	0.9441	0.9259	1
7550	0.9371	0.9207	1
7600	0.9308	0.9163	1
7650	0.9248	0.9088	1
7700	0.9193	0.908	1
7750	0.9114	0.903	1
7800	0.9081	0.8977	1
7850	0.9043	0.8949	1
7900	0.8928	0.8916	1
7950	0.8904	0.8873	1
8000	0.8881	0.8837	1
