0	0	0	0	0	0
256	0	0	217	8	4
512	0	0	441	15	7
768	0	0	656	23	10
1024	0	0	860	30	14
1280	0	0	1068	35	17
1536	0	0	1288	44	20
1792	0	0	1485	53	24
2048	0	0	1685	61	27
2303	0	0	1886	67	30
2559	0	0	2095	73	34
2815	0	0	2328	84	39
3071	0	0	2526	93	40
3327	0	0	2719	98	46
3583	0	0	2914	102	51
3839	0	0	3118	108	53
4095	0	0	3328	121	56
0	256	0	53	240	16
256	256	0	280	250	20
512	256	0	495	257	22
768	256	0	702	265	26
1024	256	0	907	267	29
1280	256	0	1118	271	31
1536	256	0	1345	285	36
1792	256	0	1539	294	40
2048	256	0	1735	303	42
2303	256	0	1933	306	46
2559	256	0	2148	312	50
2815	256	0	2378	328	56
3071	256	0	2570	337	55
3327	256	0	2756	340	60
3583	256	0	2952	342	65
3839	256	0	3159	349	68
4095	256	0	3373	361	72
0	512	0	101	490	32
256	512	0	317	503	35
512	512	0	551	520	38
768	512	0	755	519	42
1024	512	0	953	523	46
1280	512	0	1165	529	48
1536	512	0	1379	538	51
1792	512	0	1582	551	56
2048	512	0	1784	559	61
2303	512	0	1982	562	62
2559	512	0	2203	566	66
2815	512	0	2424	573	69
3071	512	0	2617	582	73
3327	512	0	2806	583	74
3583	512	0	3007	590	79
3839	512	0	3213	594	83
4095	512	0	3426	603	87
0	768	0	148	728	48
256	768	0	366	738	51
512	768	0	586	746	55
768	768	0	788	755	60
1024	768	0	999	759	62
1280	768	0	1215	765	65
1536	768	0	1422	774	69
1792	768	0	1619	784	73
2048	768	0	1823	793	76
2303	768	0	2026	805	79
2559	768	0	2255	812	81
2815	768	0	2464	814	84
3071	768	0	2656	815	87
3327	768	0	2848	818	91
3583	768	0	3052	828	94
3839	768	0	3261	838	98
4095	768	0	3473	845	102
0	1024	0	203	972	64
256	1024	0	422	981	67
512	1024	0	634	989	70
768	1024	0	838	997	74
1024	1024	0	1045	1004	78
1280	1024	0	1272	1010	84
1536	1024	0	1474	1017	89
1792	1024	0	1670	1025	93
2048	1024	0	1870	1034	93
2303	1024	0	2075	1042	94
2559	1024	0	2309	1058	98
2815	1024	0	2509	1062	102
3071	1024	0	2698	1061	106
3327	1024	0	2889	1062	109
3583	1024	0	3091	1070	110
3839	1024	0	3304	1084	112
4095	1024	0	3521	1093	119
0	1280	0	248	1209	80
256	1280	0	471	1217	85
512	1280	0	685	1228	90
768	1280	0	890	1240	91
1024	1280	0	1095	1247	92
1280	1280	0	1318	1250	101
1536	1280	0	1516	1255	106
1792	1280	0	1717	1264	106
2048	1280	0	1921	1273	108
2303	1280	0	2129	1280	110
2559	1280	0	2358	1290	113
2815	1280	0	2554	1298	116
3071	1280	0	2744	1297	120
3327	1280	0	2939	1299	122
3583	1280	0	3141	1306	123
3839	1280	0	3352	1316	128
4095	1280	0	3568	1330	131
0	1536	0	292	1435	96
256	1536	0	518	1444	98
512	1536	0	723	1453	106
768	1536	0	930	1463	110
1024	1536	0	1144	1473	107
1280	1536	0	1355	1480	114
1536	1536	0	1552	1478	121
1792	1536	0	1756	1486	121
2048	1536	0	1960	1495	120
2303	1536	0	2179	1505	123
2559	1536	0	2400	1513	125
2815	1536	0	2597	1521	128
3071	1536	0	2788	1521	131
3327	1536	0	2987	1526	134
3583	1536	0	3191	1532	138
3839	1536	0	3400	1541	142
4095	1536	0	3613	1554	147
0	1792	0	343	1660	112
256	1792	0	565	1670	114
512	1792	0	766	1677	115
768	1792	0	976	1686	124
1024	1792	0	1190	1693	125
1280	1792	0	1399	1700	128
1536	1792	0	1599	1708	135
1792	1792	0	1801	1713	133
2048	1792	0	2005	1721	134
2303	1792	0	2230	1730	139
2559	1792	0	2445	1741	141
2815	1792	0	2640	1747	143
3071	1792	0	2830	1749	147
3327	1792	0	3029	1752	149
3583	1792	0	3236	1759	155
3839	1792	0	3448	1770	160
4095	1792	0	3657	1781	159
0	2048	0	394	1891	129
256	2048	0	614	1898	132
512	2048	0	822	1908	133
768	2048	0	1027	1916	133
1024	2048	0	1246	1920	142
1280	2048	0	1449	1927	149
1536	2048	0	1649	1934	151
1792	2048	0	1853	1943	149
2048	2048	0	2059	1952	151
2303	2048	0	2282	1964	158
2559	2048	0	2485	1975	157
2815	2048	0	2680	1983	163
3071	2048	0	2874	1987	165
3327	2048	0	3073	1989	167
3583	2048	0	3278	1994	168
3839	2048	0	3491	2006	176
4095	2048	0	3698	2016	178
0	2303	0	447	2132	143
256	2303	0	662	2141	152
512	2303	0	871	2152	153
768	2303	0	1079	2160	153
1024	2303	0	1295	2167	157
1280	2303	0	1491	2169	165
1536	2303	0	1695	2175	168
1792	2303	0	1901	2187	166
2048	2303	0	2109	2198	168
2303	2303	0	2331	2209	178
2559	2303	0	2529	2220	175
2815	2303	0	2725	2230	177
3071	2303	0	2922	2233	189
3327	2303	0	3120	2235	185
3583	2303	0	3323	2239	186
3839	2303	0	3537	2252	189
4095	2303	0	3742	2262	200
0	2559	0	498	2379	158
256	2559	0	709	2387	166
512	2559	0	915	2396	169
768	2559	0	1126	2405	170
1024	2559	0	1337	2413	177
1280	2559	0	1536	2417	182
1536	2559	0	1740	2424	186
1792	2559	0	1944	2432	184
2048	2559	0	2159	2443	185
2303	2559	0	2376	2455	192
2559	2559	0	2579	2469	192
2815	2559	0	2773	2472	193
3071	2559	0	2969	2474	201
3327	2559	0	3169	2478	197
3583	2559	0	3375	2485	198
3839	2559	0	3589	2496	208
4095	2559	0	3792	2501	211
0	2815	0	553	2613	174
256	2815	0	758	2614	178
512	2815	0	965	2622	176
768	2815	0	1178	2631	179
1024	2815	0	1388	2640	190
1280	2815	0	1586	2645	198
1536	2815	0	1787	2645	201
1792	2815	0	1995	2652	199
2048	2815	0	2211	2665	198
2303	2815	0	2421	2679	201
2559	2815	0	2617	2690	206
2815	2815	0	2811	2696	205
3071	2815	0	3014	2697	203
3327	2815	0	3217	2700	215
3583	2815	0	3425	2708	208
3839	2815	0	3630	2718	211
4095	2815	0	3831	2721	221
0	3071	0	603	2845	183
256	3071	0	812	2850	184
512	3071	0	1011	2852	187
768	3071	0	1230	2862	188
1024	3071	0	1436	2873	198
1280	3071	0	1636	2880	203
1536	3071	0	1839	2886	203
1792	3071	0	2041	2886	207
2048	3071	0	2268	2902	209
2303	3071	0	2475	2912	211
2559	3071	0	2671	2919	220
2815	3071	0	2864	2923	220
3071	3071	0	3064	2928	213
3327	3071	0	3267	2932	225
3583	3071	0	3479	2941	236
3839	3071	0	3688	2949	230
4095	3071	0	3887	2954	237
0	3327	0	642	3084	196
256	3327	0	852	3092	199
512	3327	0	1057	3092	203
768	3327	0	1269	3099	207
1024	3327	0	1467	3106	213
1280	3327	0	1669	3117	215
1536	3327	0	1876	3125	217
1792	3327	0	2083	3128	224
2048	3327	0	2310	3140	229
2303	3327	0	2515	3148	223
2559	3327	0	2711	3153	229
2815	3327	0	2907	3158	238
3071	3327	0	3103	3164	240
3327	3327	0	3305	3168	231
3583	3327	0	3518	3173	242
3839	3327	0	3723	3180	243
4095	3327	0	3924	3188	245
0	3583	0	688	3320	213
256	3583	0	898	3331	214
512	3583	0	1109	3337	218
768	3583	0	1318	3339	222
1024	3583	0	1515	3345	226
1280	3583	0	1718	3355	222
1536	3583	0	1921	3362	218
1792	3583	0	2132	3371	226
2048	3583	0	2350	3383	239
2303	3583	0	2547	3390	231
2559	3583	0	2738	3392	232
2815	3583	0	2938	3400	245
3071	3583	0	3146	3408	256
3327	3583	0	3354	3415	258
3583	3583	0	3561	3423	256
3839	3583	0	3759	3425	257
4095	3583	0	3960	3429	259
0	3839	0	743	3551	226
256	3839	0	951	3560	225
512	3839	0	1160	3566	230
768	3839	0	1368	3569	235
1024	3839	0	1570	3575	242
1280	3839	0	1772	3584	248
1536	3839	0	1974	3591	240
1792	3839	0	2189	3605	241
2048	3839	0	2404	3617	251
2303	3839	0	2603	3620	260
2559	3839	0	2793	3619	251
2815	3839	0	2993	3622	256
3071	3839	0	3193	3629	263
3327	3839	0	3402	3638	272
3583	3839	0	3617	3647	277
3839	3839	0	3822	3650	271
4095	3839	0	4015	3653	274
0	4095	0	787	3786	237
256	4095	0	989	3793	239
512	4095	0	1201	3797	245
768	4095	0	1404	3801	247
1024	4095	0	1602	3807	250
1280	4095	0	1804	3815	256
1536	4095	0	2009	3827	267
1792	4095	0	2236	3838	256
2048	4095	0	2445	3845	259
2303	4095	0	2642	3849	271
2559	4095	0	2838	3850	278
2815	4095	0	3036	3854	266
3071	4095	0	3239	3860	273
3327	4095	0	3448	3871	281
3583	4095	0	3656	3876	290
3839	4095	0	3855	3876	293
4095	4095	0	4054	3880	287
0	0	256	4	2	224
256	0	256	217	9	228
512	0	256	446	16	238
768	0	256	665	23	235
1024	0	256	872	31	238
1280	0	256	1080	37	235
1536	0	256	1290	46	243
1792	0	256	1485	54	242
2048	0	256	1690	62	243
2303	0	256	1897	69	250
2559	0	256	2105	77	257
2815	0	256	2343	87	265
3071	0	256	2543	94	257
3327	0	256	2732	97	268
3583	0	256	2925	103	280
3839	0	256	3130	112	281
4095	0	256	3335	120	274
0	256	256	54	244	241
256	256	256	277	252	243
512	256	256	504	260	246
768	256	256	713	268	250
1024	256	256	919	275	248
1280	256	256	1128	282	247
1536	256	256	1347	288	258
1792	256	256	1541	297	265
2048	256	256	1742	305	260
2303	256	256	1944	312	259
