0	0	0	0	0	0
62	0	0	106	18	26
123	0	0	173	12	27
185	0	0	218	7	17
254	0	0	283	2	6
308	0	0	353	1	10
386	0	0	478	1	15
451	0	0	591	1	17
482	0	0	660	1	17
513	0	0	734	0	18
544	0	0	813	0	18
575	0	0	902	0	19
606	0	0	987	0	18
637	0	0	1023	0	16
668	0	0	1023	0	16
800	0	0	1023	0	6
924	0	0	1023	1	3
0	62	0	18	87	35
62	62	0	84	82	10
123	62	0	161	47	12
185	62	0	220	19	7
254	62	0	292	2	4
308	62	0	365	1	3
386	62	0	487	1	5
451	62	0	604	1	11
482	62	0	673	1	12
513	62	0	746	0	13
544	62	0	826	0	14
575	62	0	916	0	15
606	62	0	994	0	15
637	62	0	1023	0	14
668	62	0	1023	0	15
800	62	0	1023	1	3
924	62	0	1023	0	4
0	123	0	9	126	42
62	123	0	19	124	5
123	123	0	116	112	3
185	123	0	195	89	5
254	123	0	284	62	1
308	123	0	367	43	1
386	123	0	507	16	1
451	123	0	643	2	1
482	123	0	715	0	1
513	123	0	790	0	1
544	123	0	872	0	2
575	123	0	964	0	2
606	123	0	1023	0	3
637	123	0	1023	0	5
668	123	0	1023	0	6
800	123	0	1023	0	5
924	123	0	1023	0	2
0	185	0	3	171	51
62	185	0	3	169	28
123	185	0	63	163	1
185	185	0	158	153	1
254	185	0	258	134	1
308	185	0	349	119	1
386	185	0	493	96	1
451	185	0	631	76	1
482	185	0	709	66	0
513	185	0	794	58	0
544	185	0	883	49	0
575	185	0	980	39	0
606	185	0	1023	30	0
637	185	0	1023	21	0
668	185	0	1023	10	0
800	185	0	1023	0	1
924	185	0	1023	0	1
0	254	0	1	281	70
62	254	0	1	280	64
123	254	0	2	228	1
185	254	0	115	222	1
254	254	0	222	213	1
308	254	0	319	199	1
386	254	0	469	178	1
451	254	0	608	157	1
482	254	0	685	147	1
513	254	0	771	138	0
544	254	0	864	129	0
575	254	0	966	120	0
606	254	0	1023	112	0
637	254	0	1023	104	0
668	254	0	1023	95	0
800	254	0	1023	46	0
924	254	0	1023	35	1
0	308	0	1	348	82
62	308	0	1	348	68
123	308	0	1	290	15
185	308	0	81	288	1
254	308	0	191	280	1
308	308	0	286	272	1
386	308	0	437	247	1
451	308	0	582	225	1
482	308	0	664	215	0
513	308	0	752	205	0
544	308	0	843	195	0
575	308	0	948	186	0
606	308	0	1023	176	0
637	308	0	1023	167	0
668	308	0	1023	158	0
800	308	0	1023	105	0
924	308	0	1023	81	1
0	386	0	0	460	90
62	386	0	1	460	80
123	386	0	1	462	50
185	386	0	10	391	1
254	386	0	141	384	1
308	386	0	230	378	1
386	386	0	384	362	1
451	386	0	534	344	1
482	386	0	616	333	0
513	386	0	708	323	0
544	386	0	799	311	0
575	386	0	907	300	0
606	386	0	1004	289	0
637	386	0	1023	278	0
668	386	0	1023	266	0
800	386	0	1023	198	0
924	386	0	1023	146	1
0	451	0	0	571	89
62	451	0	0	572	87
123	451	0	0	576	61
185	451	0	0	491	7
254	451	0	99	488	0
308	451	0	188	485	0
386	451	0	335	474	0
451	451	0	489	458	0
482	451	0	568	450	0
513	451	0	656	438	0
544	451	0	758	427	0
575	451	0	866	420	0
606	451	0	974	406	0
637	451	0	1023	392	0
668	451	0	1023	378	0
800	451	0	1023	293	0
924	451	0	1023	208	1
0	482	0	0	634	95
62	482	0	0	636	89
123	482	0	0	640	68
185	482	0	0	544	20
254	482	0	79	545	0
308	482	0	170	542	0
386	482	0	315	531	0
451	482	0	463	516	0
482	482	0	544	508	0
513	482	0	634	500	0
544	482	0	737	491	0
575	482	0	843	478	0
606	482	0	956	467	0
637	482	0	1023	453	0
668	482	0	1023	437	0
800	482	0	1023	345	0
924	482	0	1023	244	0
0	513	0	0	706	102
62	513	0	0	709	95
123	513	0	0	711	77
185	513	0	0	721	37
254	513	0	56	606	0
308	513	0	149	600	0
386	513	0	293	592	0
451	513	0	440	580	0
482	513	0	521	575	0
513	513	0	610	570	0
544	513	0	710	561	0
575	513	0	814	549	0
606	513	0	933	536	0
637	513	0	1021	520	0
668	513	0	1021	502	0
800	513	0	1023	401	0
924	513	0	1023	283	0
0	544	0	0	781	108
62	544	0	0	781	102
123	544	0	0	786	83
185	544	0	0	796	46
254	544	0	30	678	0
308	544	0	131	673	0
386	544	0	272	666	0
451	544	0	415	655	0
482	544	0	494	647	0
513	544	0	583	640	0
544	544	0	681	632	0
575	544	0	786	622	0
606	544	0	904	607	0
637	544	0	1005	593	0
668	544	0	1011	573	0
800	544	0	1023	467	0
924	544	0	1023	330	0
0	575	0	0	856	114
62	575	0	0	858	108
123	575	0	0	863	88
185	575	0	0	873	56
254	575	0	0	752	1
308	575	0	109	749	0
386	575	0	250	742	0
451	575	0	390	733	0
482	575	0	468	726	0
513	575	0	554	717	0
544	575	0	649	710	0
575	575	0	753	700	0
606	575	0	869	686	0
637	575	0	988	668	0
668	575	0	998	648	0
800	575	0	1023	535	0
924	575	0	1023	381	0
0	606	0	0	950	120
62	606	0	0	953	115
123	606	0	1	957	97
185	606	0	0	970	66
254	606	0	0	826	6
308	606	0	84	828	0
386	606	0	226	821	0
451	606	0	363	813	0
482	606	0	438	808	0
513	606	0	523	798	0
544	606	0	614	790	0
575	606	0	719	779	0
606	606	0	833	769	0
637	606	0	965	758	0
668	606	0	988	735	0
800	606	0	1023	607	0
924	606	0	1023	437	0
0	637	0	0	984	124
62	637	0	0	984	118
123	637	0	0	985	95
185	637	0	0	986	55
254	637	0	0	908	19
308	637	0	57	918	0
386	637	0	202	911	0
451	637	0	336	900	0
482	637	0	409	895	0
513	637	0	489	890	0
544	637	0	582	882	0
575	637	0	687	874	0
606	637	0	804	869	0
637	637	0	934	859	0
668	637	0	980	831	0
800	637	0	1023	690	0
924	637	0	1023	500	0
0	668	0	0	995	107
62	668	0	0	995	132
123	668	0	0	996	109
185	668	0	0	997	71
254	668	0	0	1000	15
308	668	0	23	981	0
386	668	0	176	980	0
451	668	0	308	978	0
482	668	0	378	975	0
513	668	0	463	975	0
544	668	0	553	975	0
575	668	0	652	966	0
606	668	0	762	956	0
637	668	0	883	944	0
668	668	0	950	920	0
800	668	0	1023	780	0
924	668	0	1023	568	0
0	800	0	0	1023	141
