0	0	0	0	0	0
256	0	0	31	0	2
512	0	0	64	0	4
768	0	0	99	0	6
1024	0	0	134	0	8
1280	0	0	170	0	10
1536	0	0	207	0	13
1792	0	0	244	0	15
2048	0	0	281	0	17
2304	0	0	323	0	20
2560	0	0	376	0	23
2816	0	0	441	0	27
3072	0	0	520	0	32
3328	0	0	618	0	37
3584	0	0	737	0	45
3840	0	0	881	0	53
4095	0	0	1023	0	64
0	256	0	0	30	0
256	256	0	30	30	0
512	256	0	65	28	0
768	256	0	100	23	3
1024	256	0	135	7	6
1280	256	0	171	0	9
1536	256	0	208	0	11
1792	256	0	244	0	14
2048	256	0	282	0	16
2304	256	0	324	0	19
2560	256	0	376	0	22
2816	256	0	441	0	26
3072	256	0	521	0	31
3328	256	0	618	0	37
3584	256	0	737	0	44
3840	256	0	881	0	53
4095	256	0	1023	0	64
0	512	0	0	63	0
256	512	0	16	63	0
512	512	0	64	62	0
768	512	0	100	61	0
1024	512	0	136	59	0
1280	512	0	172	55	0
1536	512	0	209	49	7
1792	512	0	246	39	10
2048	512	0	283	15	13
2304	512	0	325	0	16
2560	512	0	377	0	20
2816	512	0	442	0	24
3072	512	0	521	0	30
3328	512	0	619	0	36
3584	512	0	738	0	43
3840	512	0	882	0	52
4095	512	0	1023	0	63
0	768	0	0	96	0
256	768	0	0	96	0
512	768	0	56	96	0
768	768	0	98	96	0
1024	768	0	136	95	0
1280	768	0	173	94	0
1536	768	0	210	91	0
1792	768	0	247	88	0
2048	768	0	284	83	3
2304	768	0	326	75	11
2560	768	0	378	59	16
2816	768	0	443	0	21
3072	768	0	523	0	27
3328	768	0	620	0	34
3584	768	0	738	0	41
3840	768	0	882	0	51
4095	768	0	1023	0	62
0	1024	0	0	131	0
256	1024	0	0	131	0
512	1024	0	34	131	0
768	1024	0	91	131	0
1024	1024	0	133	130	0
1280	1024	0	172	130	0
1536	1024	0	210	128	0
1792	1024	0	248	127	0
2048	1024	0	285	124	0
2304	1024	0	327	120	0
2560	1024	0	380	113	0
2816	1024	0	444	101	15
3072	1024	0	524	77	22
3328	1024	0	621	0	30
3584	1024	0	740	0	39
3840	1024	0	883	0	48
4095	1024	0	1023	0	60
0	1280	0	0	166	0
256	1280	0	0	166	0
512	1280	0	0	166	0
768	1280	0	78	166	0
1024	1280	0	127	166	0
1280	1280	0	169	165	0
1536	1280	0	209	165	0
1792	1280	0	247	164	0
2048	1280	0	285	162	0
2304	1280	0	328	160	0
2560	1280	0	381	156	0
2816	1280	0	446	148	0
3072	1280	0	525	136	13
3328	1280	0	623	112	25
3584	1280	0	741	50	35
3840	1280	0	885	0	45
4095	1280	0	1023	0	57
0	1536	0	0	201	0
256	1536	0	0	201	0
512	1536	0	0	201	0
768	1536	0	52	201	0
1024	1536	0	117	201	0
1280	1536	0	163	201	0
1536	1536	0	205	201	0
1792	1536	0	245	200	0
2048	1536	0	285	199	0
2304	1536	0	328	198	0
2560	1536	0	381	195	0
2816	1536	0	447	190	0
3072	1536	0	527	182	0
3328	1536	0	624	168	14
3584	1536	0	742	140	29
3840	1536	0	886	73	41
4095	1536	0	1023	0	54
0	1792	0	0	237	0
256	1792	0	0	237	0
512	1792	0	0	237	0
768	1792	0	0	237	0
1024	1792	0	100	237	0
1280	1792	0	154	237	0
1536	1792	0	200	237	0
1792	1792	0	242	237	0
2048	1792	0	283	236	0
2304	1792	0	327	235	0
2560	1792	0	381	233	0
2816	1792	0	447	230	0
3072	1792	0	528	224	0
3328	1792	0	625	214	0
3584	1792	0	744	196	18
3840	1792	0	888	161	35
4095	1792	0	1023	70	50
0	2048	0	0	274	0
256	2048	0	0	274	0
512	2048	0	0	274	0
768	2048	0	0	274	0
1024	2048	0	71	274	0
1280	2048	0	141	274	0
1536	2048	0	191	273	0
1792	2048	0	236	273	0
2048	2048	0	279	273	0
2304	2048	0	325	272	0
2560	2048	0	380	271	0
2816	2048	0	447	268	0
3072	2048	0	528	264	0
3328	2048	0	626	257	0
3584	2048	0	745	243	0
3840	2048	0	889	220	25
4095	2048	0	1023	173	44
0	2304	0	0	314	0
256	2304	0	0	314	0
512	2304	0	0	314	0
768	2304	0	0	315	0
1024	2304	0	0	315	0
1280	2304	0	118	315	0
1536	2304	0	178	314	0
1792	2304	0	227	314	0
2048	2304	0	273	314	0
2304	2304	0	321	313	0
2560	2304	0	378	313	0
2816	2304	0	446	311	0
3072	2304	0	528	308	0
3328	2304	0	627	302	0
3584	2304	0	747	293	0
3840	2304	0	891	275	0
4095	2304	0	1023	244	35
0	2560	0	0	366	0
256	2560	0	0	366	0
512	2560	0	0	366	0
768	2560	0	0	366	0
1024	2560	0	0	366	0
1280	2560	0	63	366	0
1536	2560	0	153	366	0
1792	2560	0	212	365	0
2048	2560	0	261	365	0
2304	2560	0	313	365	0
2560	2560	0	373	364	0
2816	2560	0	443	363	0
3072	2560	0	527	361	0
3328	2560	0	627	357	0
3584	2560	0	748	350	0
3840	2560	0	892	338	0
4095	2560	0	1023	315	4
0	2816	0	0	429	0
256	2816	0	0	429	0
512	2816	0	0	429	0
768	2816	0	0	429	0
1024	2816	0	0	429	0
1280	2816	0	0	429	0
1536	2816	0	100	429	0
1792	2816	0	182	429	0
2048	2816	0	241	429	0
2304	2816	0	298	429	0
2560	2816	0	363	428	0
2816	2816	0	437	427	0
3072	2816	0	524	426	0
3328	2816	0	626	423	0
3584	2816	0	748	418	0
3840	2816	0	894	409	0
4095	2816	0	1023	394	0
0	3072	0	0	506	0
256	3072	0	0	506	0
512	3072	0	0	506	0
768	3072	0	0	506	0
1024	3072	0	0	506	0
1280	3072	0	0	506	0
1536	3072	0	0	506	0
1792	3072	0	116	506	0
2048	3072	0	202	506	0
2304	3072	0	272	506	0
2560	3072	0	344	506	0
2816	3072	0	425	506	0
3072	3072	0	516	505	0
3328	3072	0	622	503	0
3584	3072	0	747	500	0
3840	3072	0	894	494	0
4095	3072	0	1023	483	0
0	3328	0	0	601	0
256	3328	0	0	601	0
512	3328	0	0	601	0
768	3328	0	0	601	0
1024	3328	0	0	601	0
1280	3328	0	0	601	0
1536	3328	0	0	601	0
1792	3328	0	0	601	0
2048	3328	0	107	601	0
2304	3328	0	220	601	0
2560	3328	0	310	601	0
2816	3328	0	402	601	0
3072	3328	0	501	601	0
3328	3328	0	613	599	0
3584	3328	0	742	597	0
3840	3328	0	893	593	0
4095	3328	0	1023	586	0
0	3584	0	0	717	0
256	3584	0	0	717	0
512	3584	0	0	717	0
768	3584	0	0	717	0
1024	3584	0	0	717	0
1280	3584	0	0	717	0
1536	3584	0	0	717	0
1792	3584	0	0	717	0
2048	3584	0	0	717	0
2304	3584	0	53	717	0
2560	3584	0	242	717	0
2816	3584	0	359	717	0
3072	3584	0	473	717	0
3328	3584	0	594	716	0
3584	3584	0	731	715	0
3840	3584	0	887	712	0
4095	3584	0	1023	707	0
0	3840	0	0	857	0
256	3840	0	0	857	0
512	3840	0	0	857	0
768	3840	0	0	857	0
1024	3840	0	0	857	0
1280	3840	0	0	857	0
1536	3840	0	0	857	0
1792	3840	0	0	857	0
2048	3840	0	0	857	0
2304	3840	0	0	857	0
2560	3840	0	0	857	0
2816	3840	0	270	857	0
3072	3840	0	419	857	0
3328	3840	0	559	857	0
3584	3840	0	708	856	0
3840	3840	0	874	854	0
4095	3840	0	1023	851	0
0	4095	0	0	1023	0
256	4095	0	0	1023	0
512	4095	0	0	1023	0
768	4095	0	0	1023	0
1024	4095	0	0	1023	0
1280	4095	0	0	1023	0
1536	4095	0	0	1023	0
1792	4095	0	0	1023	0
2048	4095	0	0	1023	0
2304	4095	0	0	1023	0
2560	4095	0	0	1023	0
2816	4095	0	0	1023	0
3072	4095	0	307	1023	0
3328	4095	0	493	1023	0
3584	4095	0	666	1023	0
3840	4095	0	846	1023	0
4095	4095	0	1023	1023	0
0	0	256	0	0	24
256	0	256	31	0	28
512	0	256	64	0	30
768	0	256	99	0	33
1024	0	256	134	0	34
1280	0	256	170	0	36
1536	0	256	207	0	37
1792	0	256	244	0	39
2048	0	256	281	0	40
2304	0	256	323	0	42
2560	0	256	376	0	44
2816	0	256	441	0	47
3072	0	256	520	0	50
3328	0	256	618	0	55
3584	0	256	737	0	60
3840	0	256	881	0	67
4095	0	256	1023	0	76
0	256	256	0	30	29
256	256	256	30	30	30
512	256	256	65	28	31
768	256	256	100	23	33
1024	256	256	135	6	34
1280	256	256	171	0	36
1536	256	256	208	0	37
1792	256	256	244	0	39
2048	256	256	282	0	40
2304	256	256	324	0	42
2560	256	256	376	0	44
2816	256	256	441	0	47
3072	256	256	521	0	50
3328	256	256	618	0	54
3584	256	256	737	0	60
3840	256	256	881	0	67
4095	256	256	1023	0	76
0	512	256	0	63	31
256	512	256	14	63	32
512	512	256	63	62	32
768	512	256	100	61	33
1024	512	256	136	59	34
1280	512	256	172	55	36
1536	512	256	209	49	37
1792	512	256	246	38	38
2048	512	256	283	14	40
2304	512	256	325	0	41
2560	512	256	377	0	43
2816	512	256	442	0	46
3072	512	256	521	0	49
3328	512	256	619	0	54
3584	512	256	738	0	59
3840	512	256	882	0	66
4095	512	256	1023	0	75
0	768	256	0	96	32
256	768	256	0	96	32
512	768	256	55	96	32
768	768	256	98	96	33
1024	768	256	136	95	34
1280	768	256	173	94	35
1536	768	256	210	91	36
1792	768	256	247	88	37
2048	768	256	284	82	38
2304	768	256	326	74	40
2560	768	256	378	59	42
2816	768	256	443	0	45
3072	768	256	523	0	48
3328	768	256	620	0	52
3584	768	256	738	0	58
3840	768	256	882	0	65
4095	768	256	1023	0	74
0	1024	256	0	131	31
256	1024	256	0	131	31
512	1024	256	33	131	31
768	1024	256	91	131	32
1024	1024	256	133	130	32
1280	1024	256	172	130	33
1536	1024	256	210	128	34
1792	1024	256	248	127	35
2048	1024	256	285	124	36
2304	1024	256	327	120	38
2560	1024	256	380	113	40
2816	1024	256	444	101	43
3072	1024	256	524	77	46
3328	1024	256	621	0	51
3584	1024	256	740	0	56
3840	1024	256	883	0	64
4095	1024	256	1023	0	73
0	1280	256	0	166	28
256	1280	256	0	166	28
512	1280	256	0	166	28
768	1280	256	78	166	29
1024	1280	256	127	166	29
1280	1280	256	169	165	30
1536	1280	256	209	165	31
1792	1280	256	247	164	32
2048	1280	256	285	162	33
2304	1280	256	328	160	35
2560	1280	256	381	156	37
2816	1280	256	446	148	40
3072	1280	256	525	136	43
3328	1280	256	623	112	48
3584	1280	256	741	49	54
3840	1280	256	885	0	62
4095	1280	256	1023	0	71
0	1536	256	0	201	22
256	1536	256	0	201	23
512	1536	256	0	201	23
768	1536	256	51	201	23
1024	1536	256	116	201	24
1280	1536	256	163	201	25
1536	1536	256	205	201	26
1792	1536	256	245	200	27
2048	1536	256	285	199	29
2304	1536	256	328	198	30
2560	1536	256	381	195	33
2816	1536	256	447	190	36
3072	1536	256	527	182	40
3328	1536	256	624	168	45
3584	1536	256	742	140	51
3840	1536	256	886	73	59
4095	1536	256	1023	0	69
0	1792	256	0	237	11
256	1792	256	0	237	11
512	1792	256	0	237	12
768	1792	256	0	237	13
1024	1792	256	99	237	14
1280	1792	256	154	237	16
1536	1792	256	200	237	17
1792	1792	256	242	237	19
2048	1792	256	282	236	21
2304	1792	256	327	235	23
2560	1792	256	381	233	26
2816	1792	256	447	230	30
3072	1792	256	528	224	34
3328	1792	256	625	214	40
3584	1792	256	744	196	47
3840	1792	256	888	161	55
4095	1792	256	1023	70	65
0	2048	256	0	274	0
256	2048	256	0	274	0
512	2048	256	0	274	0
768	2048	256	0	274	0
1024	2048	256	70	274	0
1280	2048	256	140	274	0
1536	2048	256	191	273	0
1792	2048	256	236	273	0
2048	2048	256	279	273	0
2304	2048	256	325	272	0
2560	2048	256	380	271	13
2816	2048	256	447	268	19
3072	2048	256	528	264	26
3328	2048	256	626	257	33
3584	2048	256	745	243	41
3840	2048	256	889	220	51
4095	2048	256	1023	173	62
0	2304	256	0	314	0
256	2304	256	0	314	0
512	2304	256	0	314	0
768	2304	256	0	315	0
1024	2304	256	0	315	0
1280	2304	256	117	315	0
1536	2304	256	178	314	0
1792	2304	256	227	314	0
2048	2304	256	273	314	0
2304	2304	256	320	313	0
2560	2304	256	378	313	0
2816	2304	256	446	311	0
3072	2304	256	528	308	0
3328	2304	256	627	302	20
3584	2304	256	747	293	32
3840	2304	256	891	275	44
4095	2304	256	1023	244	56
0	2560	256	0	366	0
256	2560	256	0	366	0
512	2560	256	0	366	0
768	2560	256	0	366	0
1024	2560	256	0	366	0
1280	2560	256	62	366	0
1536	2560	256	153	366	0
1792	2560	256	211	365	0
2048	2560	256	261	365	0
2304	2560	256	313	365	0
2560	2560	256	373	364	0
2816	2560	256	443	363	0
3072	2560	256	527	361	0
3328	2560	256	627	357	0
3584	2560	256	748	350	0
3840	2560	256	892	338	30
4095	2560	256	1023	315	47
